token,count,files,category,registered,builtin_allowed,baseline_allowed,first_file,first_line,first_context
SGP4/TLE/TEME,94,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,549,"PORT_STATUS_RELEASE_GATE.csv:row_1305,ecef_to_az_el,ecef_to_az_el,M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/coord_utils.sci,sgp4_teme_sensitive,blocked_until_frame_time_poli"
SGP4/TLE,90,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,549,"PORT_STATUS_RELEASE_GATE.csv:row_1305,ecef_to_az_el,ecef_to_az_el,M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/coord_utils.sci,sgp4_teme_sensitive,blocked_until_frame_time_poli"
NASA,83,31,registered,true,false,false,archive/prompts/Pasted markdown.md,553,NASA Glenn thermodynamics / CEA as future validation target
SGP4/TEME,79,3,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,549,"PORT_STATUS_RELEASE_GATE.csv:row_1305,ecef_to_az_el,ecef_to_az_el,M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/coord_utils.sci,sgp4_teme_sensitive,blocked_until_frame_time_poli"
AI,78,18,software_or_repo_infrastructure,false,true,false,ARTIFACT_MANIFEST.md,41,This package adds the repository-level nomenclature/acronym policy and AI terminology integration. Added artifact files include:
TEME/ECEF/PEF,78,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,549,"PORT_STATUS_RELEASE_GATE.csv:row_1305,ecef_to_az_el,ecef_to_az_el,M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/coord_utils.sci,sgp4_teme_sensitive,blocked_until_frame_time_poli"
MAX,75,11,uppercase_word_or_heading,false,false,false,crates/aero-codex-aerodynamics/src/lib.rs,316,"assert_numerical_failure(dynamic_pressure(f64::MAX, f64::MAX));"
AC-P0,70,1,compound_registered_or_known,false,false,false,docs/phase_0_001/tracked_tasks.md,40,### AC-P0.001-T001 — Source registry review checklist
README,66,20,software_or_repo_infrastructure,false,true,false,Cargo.toml,24,"readme = ""README.md"""
RATIO,63,4,uppercase_word_or_heading,false,false,false,crates/aero-codex-gas-dynamics/src/lib.rs,21,"pub const CODEX_ID_ISENTROPIC_TEMPERATURE_RATIO: &str = ""gasdyn.isentropic.temperature_ratio"";"
SEQ-118,63,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,148,"PORT_STATUS_RELEASE_GATE.csv:row_0548,fb_apogee_from_state,fb_apogee_from_state,source_scilab/curtis_section03_finite_burn_scilab/src/finite_burn_lib.sci,orbit_two_body,high_risk_requires_numerical_policy,mission design / patched-conic astr"
O2,61,19,chemical_formula_or_unit_symbol,false,false,false,crates/aero-codex-life-support/examples/thinfilm_demo.rs,33,"""overall nitrification O2 flux = {:.3}"","
SHA256,61,21,software_or_repo_infrastructure,false,true,false,ARTIFACT_MANIFEST.md,6,- Repository SHA256 sidecar: `AeroCodex_repository_foundation_v0_001_microtasks_001_020_SHA256.txt`
OBLIQUE,60,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-gas-dynamics/src/lib.rs,55,"pub const CODEX_ID_OBLIQUE_SHOCK_RESIDUAL: &str = ""gasdyn.oblique_shock.theta_beta_mach_residual"";"
SEQ-058,60,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,214,"PORT_STATUS_RELEASE_GATE.csv:row_0806,foa_ch09_ast9_assert_close,foa_ch09_ast9_assert_close,""source_scilab/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_sci"
TRANSFER,60,5,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,31,"pub const CODEX_ID_HOHMANN_TRANSFER_DELTA_V1: &str = ""astrodynamics.transfer.hohmann.delta_v1"";"
LEVEL,58,5,uppercase_word_or_heading,false,false,false,crates/aero-codex-atmosphere/src/lib.rs,17,"STANDARD_GAMMA_DRY_AIR, STANDARD_GRAVITY_M_S2, STANDARD_SEA_LEVEL_DENSITY_KG_M3,"
VECTOR,57,3,needs_registry_or_waiver,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,50,"pub const CODEX_ID_M00_VECTOR_DOT: &str = ""formula_vault.m00.vector.dot"";"
CI,54,19,registered,true,true,false,README.md,23,"This README reflects the governed state after **Stage 4 Chunk 8A — M00 vector equation expansion** is merged, pushed, branch-clean, and CI-green."
GAS,54,5,uppercase_word_or_heading,false,false,false,crates/aero-codex-atmosphere/src/lib.rs,16,"SOURCE_ID_US_STANDARD_ATMOSPHERE_1976, STANDARD_AIR_GAS_CONSTANT_J_PER_KG_K,"
RATE,54,8,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,75,pub const CODEX_ID_M00_VELOCITY_FROM_ARC_RATE: &str =
NORMAL,53,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-gas-dynamics/src/lib.rs,32,"pub const CODEX_ID_NORMAL_SHOCK_DOWNSTREAM_MACH: &str = ""gasdyn.normal_shock.mach2"";"
M3,48,5,chemical_formula_or_unit_symbol,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,1197,"use aero_codex_constants::{EARTH_GRAVITATIONAL_PARAMETER_M3_S2, EARTH_MEAN_RADIUS_M};"
SEA,48,4,uppercase_word_or_heading,false,false,false,crates/aero-codex-atmosphere/src/lib.rs,17,"STANDARD_GAMMA_DRY_AIR, STANDARD_GRAVITY_M_S2, STANDARD_SEA_LEVEL_DENSITY_KG_M3,"
EARTH,47,3,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,1197,"use aero_codex_constants::{EARTH_GRAVITATIONAL_PARAMETER_M3_S2, EARTH_MEAN_RADIUS_M};"
FLUX,46,6,uppercase_word_or_heading,false,false,false,crates/aero-codex-heat-transfer/src/lib.rs,20,pub const CODEX_ID_STEFAN_BOLTZMANN_RADIATIVE_FLUX: &str =
PARAMETER,46,7,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,1197,"use aero_codex_constants::{EARTH_GRAVITATIONAL_PARAMETER_M3_S2, EARTH_MEAN_RADIUS_M};"
PRESSURE,46,6,uppercase_word_or_heading,false,false,false,crates/aero-codex-aerodynamics/src/lib.rs,20,"pub const CODEX_ID_DYNAMIC_PRESSURE: &str = ""aero.forces.dynamic_pressure"";"
CONSTANT,45,6,uppercase_word_or_heading,false,false,false,crates/aero-codex-atmosphere/src/lib.rs,16,"SOURCE_ID_US_STANDARD_ATMOSPHERE_1976, STANDARD_AIR_GAS_CONSTANT_J_PER_KG_K,"
DELTA,45,2,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,31,"pub const CODEX_ID_HOHMANN_TRANSFER_DELTA_V1: &str = ""astrodynamics.transfer.hohmann.delta_v1"";"
S2,45,5,chemical_formula_or_unit_symbol,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,1197,"use aero_codex_constants::{EARTH_GRAVITATIONAL_PARAMETER_M3_S2, EARTH_MEAN_RADIUS_M};"
HOHMANN,44,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,31,"pub const CODEX_ID_HOHMANN_TRANSFER_DELTA_V1: &str = ""astrodynamics.transfer.hohmann.delta_v1"";"
MIT,44,23,software_or_repo_infrastructure,false,true,false,Cargo.toml,22,"license = ""MIT OR Apache-2.0"""
PER,43,6,uppercase_word_or_heading,false,false,false,crates/aero-codex-atmosphere/src/lib.rs,16,"SOURCE_ID_US_STANDARD_ATMOSPHERE_1976, STANDARD_AIR_GAS_CONSTANT_J_PER_KG_K,"
C3,42,11,chemical_formula_or_unit_symbol,false,false,false,crates/aero-codex-life-support/src/lib.rs,23,/// MELiSSA C3 nitrifying fixed-bed biofilm and reaction-diffusion helpers.
PI,42,9,chemical_formula_or_unit_symbol,false,false,false,crates/aero-codex-aerodynamics/src/lib.rs,17,use std::f64::consts::PI;
ASTRODYNAMICS,40,2,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,121,pub const SOURCE_ID_ASTRODYNAMICS_NASA_JPL_PARAMETERS: &str =
ZIP,40,11,software_or_repo_infrastructure,false,true,false,ARTIFACT_MANIFEST.md,5,- Repository ZIP: `AeroCodex_repository_foundation_v0_001_microtasks_001_020.zip`
DOI,39,14,registered,true,false,false,data/thinfilm/source_verification.csv,2,"poughon2021,Poughon et al.,Photobioreactor Limnospira indica Growth Model,10.3389/fspas.2021.700277,verified_against_frontiers_and_sckcen,""Frontiers and SCK CEN records confirm title, journal, volume, article number, and DOI."""
RCS,39,15,registered,true,false,false,docs/deployment/deploy_agent_prompt_nomenclature_policy_v0_002.md,58,- `RCS` has multiple candidate meanings.
SI,39,22,registered,true,false,false,crates/aero-codex-aerodynamics/src/lib.rs,6,//! outputs use SI units where the quantity has dimensions. The functions do not
BALANCE,38,3,uppercase_word_or_heading,false,false,false,crates/aero-codex-life-support/src/brlss_backbone.rs,164,const ID: &str = ids::ELEMENT_BALANCE_RESIDUAL;
CEA,38,15,registered,true,false,false,archive/prompts/Pasted markdown.md,90,CEA wrappers
GRAVITATIONAL,38,4,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,1197,"use aero_codex_constants::{EARTH_GRAVITATIONAL_PARAMETER_M3_S2, EARTH_MEAN_RADIUS_M};"
ISENTROPIC,38,3,uppercase_word_or_heading,false,false,false,crates/aero-codex-gas-dynamics/src/lib.rs,21,"pub const CODEX_ID_ISENTROPIC_TEMPERATURE_RATIO: &str = ""gasdyn.isentropic.temperature_ratio"";"
NACA,38,14,registered,true,false,false,archive/prompts/Pasted markdown.md,552,NACA Report 1135 or equivalent compressible-flow reference
P2,38,1,chemical_formula_or_unit_symbol,false,false,false,docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv,17,"P2_after_contract_review,PORT_STATUS_RELEASE_GATE.csv:row_0047,to_canonical_distance,foa_ch01_ast_to_canonical_distance,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_ast"
SEQ-040,38,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,87,"PORT_STATUS_RELEASE_GATE.csv:row_0427,ch6::free_flight_range_angle,foa_ch06_ast_free_flight_range_angle,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scila"
FROM,37,3,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,73,"pub const CODEX_ID_M00_TANGENT_FROM_DR_DS: &str = ""formula_vault.m00.vector.tangent_from_dr_ds"";"
MEL,37,2,registered,true,false,false,nomenclature/registry/waivers.yaml,22,surface_form: MEL
E014,36,7,chemical_formula_or_unit_symbol,false,false,false,nomenclature/README.md,87,└── trajectory_fit_E014.md
MASS,36,6,uppercase_word_or_heading,false,false,false,crates/aero-codex-gas-dynamics/src/lib.rs,29,"pub const CODEX_ID_ISENTROPIC_MASS_FLOW_PARAMETER: &str = ""gasdyn.isentropic.mass_flow_parameter"";"
AIR,35,4,uppercase_word_or_heading,false,false,false,crates/aero-codex-atmosphere/src/lib.rs,16,"SOURCE_ID_US_STANDARD_ATMOSPHERE_1976, STANDARD_AIR_GAS_CONSTANT_J_PER_KG_K,"
DENSITY,35,5,uppercase_word_or_heading,false,false,false,crates/aero-codex-atmosphere/src/lib.rs,17,"STANDARD_GAMMA_DRY_AIR, STANDARD_GRAVITY_M_S2, STANDARD_SEA_LEVEL_DENSITY_KG_M3,"
FAA,35,13,registered,true,false,false,docs/deployment/deploy_agent_prompt_nomenclature_policy_v0_002.md,35,"6. Do not bulk-approve external acronym lists. Source registries may identify NASA, ECSS, FAA, CCSDS, DoD, AIAA, and AeroCodex seed families, but imported terms must remain candidate/source-scoped until reviewed."
NAN,35,12,registered,true,false,false,crates/aero-codex-aerodynamics/src/lib.rs,249,"assert!(dynamic_pressure(f64::NAN, 10.0).is_err());"
SEQ-175,35,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,518,"PORT_STATUS_RELEASE_GATE.csv:row_1270,rvd_epsilon_from_n_lambda,rvd_epsilon_from_n_lambda,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library"
SEQ-159,34,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,433,"PORT_STATUS_RELEASE_GATE.csv:row_1052,rb_attitude_quat_derivs_constant_moment,rb_attitude_quat_derivs_constant_moment,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_un"
ECLSS,33,17,registered,true,false,false,archive/prompts/Pasted markdown.md,555,NASA life-support / BVAD / ECLSS sources as research targets
REQUIRED,33,4,uppercase_word_or_heading,false,false,false,crates/aero-codex-constants/src/lib.rs,14,"pub const RESEARCH_REQUIRED_STATUS: &str = ""research_required"";"
SEQ-029,33,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,50,"PORT_STATUS_RELEASE_GATE.csv:row_0287,ch4::assert_close,foa_ch04_ast_assert_close,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespac"
CDR,32,14,registered,true,false,false,docs/deployment/deploy_agent_prompt_nomenclature_policy_v0_002.md,57,- `CDR` has multiple candidate meanings.
KG,32,4,chemical_formula_or_unit_symbol,false,false,false,crates/aero-codex-atmosphere/src/lib.rs,16,"SOURCE_ID_US_STANDARD_ATMOSPHERE_1976, STANDARD_AIR_GAS_CONSTANT_J_PER_KG_K,"
PBR,32,7,registered,true,false,false,crates/aero-codex-life-support/src/melissa_photobioreactor.rs,407,/// Tank-in-series PBR concentration rate for species `i`.
RESIDUAL,32,4,uppercase_word_or_heading,false,false,false,crates/aero-codex-gas-dynamics/src/lib.rs,55,"pub const CODEX_ID_OBLIQUE_SHOCK_RESIDUAL: &str = ""gasdyn.oblique_shock.theta_beta_mach_residual"";"
MACH,31,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-gas-dynamics/src/lib.rs,27,"pub const CODEX_ID_ISENTROPIC_AREA_MACH_RATIO: &str = ""gasdyn.isentropic.area_mach_ratio"";"
SEQ-014,31,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,8,"PORT_STATUS_RELEASE_GATE.csv:row_0138,sidereal_to_solar_day_ratio,foa_ch02_ast_sidereal_to_solar_day_ratio,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_sc"
TEMPERATURE,31,5,uppercase_word_or_heading,false,false,false,crates/aero-codex-atmosphere/src/lib.rs,18,"STANDARD_SEA_LEVEL_PRESSURE_PA, STANDARD_SEA_LEVEL_TEMPERATURE_K,"
ACX-NOM-WAIVER,30,2,needs_registry_or_waiver,false,false,false,nomenclature/docs/ACX-NOM-001.md,954,waiver_id: ACX-NOM-WAIVER-0007
ESM,29,11,registered,true,false,false,crates/aero-codex-life-support/examples/thinfilm_demo.rs,67,"println!(""illustrative ESM = {:.3} kg-equivalent"", esm.value);"
OR,29,14,chemical_formula_or_unit_symbol,false,false,false,Cargo.toml,22,"license = ""MIT OR Apache-2.0"""
SEQ-041,29,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,100,"PORT_STATUS_RELEASE_GATE.csv:row_0456,ch6::assert_true,foa_ch06_ast_assert_true,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced"
ACX-NOM-W008,28,3,compound_registered_or_known,false,false,false,nomenclature/ci/nom-rules.yaml,101,- code: ACX-NOM-W008
I/O,28,2,compound_registered_or_known,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,128,"PORT_STATUS_RELEASE_GATE.csv:row_0519,astro_print_orbit_summary,astro_print_orbit_summary,source_scilab/curtis_section09_numerical_algorithms/src/astro_print_orbit_summary.sci,ambiguous_source_or_contract,do_not_import,generic numerical alg"
PDE,28,12,registered,true,false,false,DATA_MANIFEST.toml,13,"""Thin-film algal PDE functions are design-layer equations and require calibration before mission use."","
RADIUS,28,4,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,1197,"use aero_codex_constants::{EARTH_GRAVITATIONAL_PARAMETER_M3_S2, EARTH_MEAN_RADIUS_M};"
SEQ-026,28,1,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv,191,"PORT_STATUS_RELEASE_GATE.csv:row_0208,ch3_conic_type_from_e,foa_ch03_ast_conic_type_from_e,""source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_"
SEQ-057,28,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,266,"PORT_STATUS_RELEASE_GATE.csv:row_0864,foa_ch09_ast9_accel_drag,foa_ch09_ast9_accel_drag,""source_scilab/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_"
SEQ-061,28,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,252,"PORT_STATUS_RELEASE_GATE.csv:row_0850,foa_ch09_ast9_backward_differences,foa_ch09_ast9_abm4_integrate_fixed,""source_scilab/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_a"
SEQ-130,28,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,386,"PORT_STATUS_RELEASE_GATE.csv:row_0999,j2_a_from_period,j2_a_from_period,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section08_"
BASICS,27,8,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,127,pub const SOURCE_ID_ASTRODYNAMICS_TWO_BODY_BASICS: &str =
DATA,27,16,uppercase_word_or_heading,false,false,false,ARTIFACT_MANIFEST.md,22,- `DATA_MANIFEST.toml`
GAMMA,27,4,uppercase_word_or_heading,false,false,false,crates/aero-codex-atmosphere/src/lib.rs,17,"STANDARD_GAMMA_DRY_AIR, STANDARD_GRAVITY_M_S2, STANDARD_SEA_LEVEL_DENSITY_KG_M3,"
REGISTRY,27,12,needs_registry_or_waiver,false,false,false,data-governance/DATA_POLICY.md,9,The canonical Stage 4 registry is `data-governance/DATA_REGISTRY.yaml`. Its `validation_status` and `hash_status` fields use the vocabulary in `validation/status_vocabulary.yaml`. Each artifact entry records:
