m07_row_id_or_alias,rust_function_alias,scilab_function_alias_if_known,source_file_locator,formula_family,risk_tier,likely_domain,unit/frame/time_dependency,numerical_sensitivity,singularity_or_branch_risk,external_data_required,recommended_chunk_group,implementation_readiness,block_reason,required_validation_evidence,notes
PORT_STATUS_RELEASE_GATE.csv:row_0142,day_index,foa_ch02_ast_day_index,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/coordinates/ast_ch2_coordinates.sci",time_scale_sensitive,blocked_until_frame_time_policy,classical orbital mechanics,"epoch, time-scale, sidereal, UT/local-time, and day-boundary policy required",medium to high around epoch/day rollover and sidereal conversions,"calendar/day rollover, time scale, and modulo convention unresolved",possible_time_reference_fixture_required,9B_time_scale_and_sidereal_policy,blocked_until_time_policy_contract,blocked_until_epoch_time_scale_and_sidereal_policy,time-scale policy doc; exact epoch fixtures; source equivalence; independent time oracle; scilab_equivalence_job_alias=SEQ-014,Time/sidereal/epoch pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0143,local_to_ut_hours,foa_ch02_ast_local_to_ut_hours,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/coordinates/ast_ch2_coordinates.sci",time_scale_sensitive,blocked_until_frame_time_policy,classical orbital mechanics,"epoch, time-scale, sidereal, UT/local-time, and day-boundary policy required",medium to high around epoch/day rollover and sidereal conversions,"calendar/day rollover, time scale, and modulo convention unresolved",possible_time_reference_fixture_required,9B_time_scale_and_sidereal_policy,blocked_until_time_policy_contract,blocked_until_epoch_time_scale_and_sidereal_policy,time-scale policy doc; exact epoch fixtures; source equivalence; independent time oracle; scilab_equivalence_job_alias=SEQ-014,Time/sidereal/epoch pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0162,weighted_least_squares_delta,foa_ch02_ast_weighted_least_squares_delta,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/correction/ast_ch2_differential_correction.sci",least_squares_or_solver,blocked_until_solver_policy,classical orbital mechanics,"observation model, weights, rank, tolerance, and frame/time policy required",high; rank conditioning and residual scaling sensitive,"rank deficiency, finite difference step, root selection, and convergence policy unresolved",possible_observation_fixture_policy_required,9C_solver_rank_tolerance_and_observation_policy,blocked_until_solver_contract,blocked_until_least_squares_rank_and_numerical_policy,rank/singularity test matrix; finite-difference step policy; source equivalence; independent observation oracle; scilab_equivalence_job_alias=SEQ-016,Least-squares/differential-correction pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0165,numerical_jacobian,foa_ch02_ast_numerical_jacobian,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/correction/ast_ch2_differential_correction.sci",least_squares_or_solver,blocked_until_solver_policy,classical orbital mechanics,"observation model, weights, rank, tolerance, and frame/time policy required",high; rank conditioning and residual scaling sensitive,"rank deficiency, finite difference step, root selection, and convergence policy unresolved",possible_observation_fixture_policy_required,9C_solver_rank_tolerance_and_observation_policy,blocked_until_solver_contract,blocked_until_least_squares_rank_and_numerical_policy,rank/singularity test matrix; finite-difference step policy; source equivalence; independent observation oracle; scilab_equivalence_job_alias=SEQ-016,Least-squares/differential-correction pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0166,differential_correction_step,foa_ch02_ast_differential_correction_step,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/correction/ast_ch2_differential_correction.sci",least_squares_or_solver,blocked_until_solver_policy,classical orbital mechanics,"observation model, weights, rank, tolerance, and frame/time policy required",high; rank conditioning and residual scaling sensitive,"rank deficiency, finite difference step, root selection, and convergence policy unresolved",possible_observation_fixture_policy_required,9C_solver_rank_tolerance_and_observation_policy,blocked_until_solver_contract,blocked_until_least_squares_rank_and_numerical_policy,rank/singularity test matrix; finite-difference step policy; source equivalence; independent observation oracle; scilab_equivalence_job_alias=SEQ-016,Least-squares/differential-correction pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0167,ijk_to_earth_fixed,foa_ch02_ast_ijk_to_earth_fixed,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/groundtrack/ast_ch2_groundtrack.sci",frame_graph_sensitive,blocked_until_frame_time_policy,classical orbital mechanics,"frame graph, handedness, origin, rotation order, and possibly time-scale policy required",medium; sign/order/frame convention mistakes dominate numerical error,"polar/axis singularities, handedness, and inverse-roundtrip policy unresolved",possible_reference_fixture_required,9B_frame_graph_time_policy_before_coordinate_transforms,contract_review_first_no_implementation,blocked_until_frame_graph_and_time_policy,frame convention contract; round-trip tests; independent known-angle cases; source equivalence where applicable; scilab_equivalence_job_alias=SEQ-018,Coordinate/frame transform pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0168,earth_fixed_to_ijk,foa_ch02_ast_earth_fixed_to_ijk,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/groundtrack/ast_ch2_groundtrack.sci",frame_graph_sensitive,blocked_until_frame_time_policy,classical orbital mechanics,"frame graph, handedness, origin, rotation order, and possibly time-scale policy required",medium; sign/order/frame convention mistakes dominate numerical error,"polar/axis singularities, handedness, and inverse-roundtrip policy unresolved",possible_reference_fixture_required,9B_frame_graph_time_policy_before_coordinate_transforms,contract_review_first_no_implementation,blocked_until_frame_graph_and_time_policy,frame convention contract; round-trip tests; independent known-angle cases; source equivalence where applicable; scilab_equivalence_job_alias=SEQ-018,Coordinate/frame transform pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0171,inclination_from_launch_azimuth,foa_ch02_ast_inclination_from_launch_azimuth,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/groundtrack/ast_ch2_groundtrack.sci",orbit_two_body,high_risk_requires_numerical_policy,classical orbital mechanics,"orbital-unit, frame, conic branch, and mission-design assumption policy required",medium to high; conic branch and mission geometry convention sensitive,"conic type, singular elements, true/eccentric/hyperbolic anomaly branches, and geometry branch policy unresolved",possible_reference_fixture_required,9A_classical_elements_and_9E_mission_design_contracts,contract_review_first_no_implementation,blocked_until_orbit_geometry_conic_branch_and_validation_policy,source locator review; analytical orbit cases; reference oracle; source equivalence; family validation card; scilab_equivalence_job_alias=SEQ-018,Orbital mechanics/mission design pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0173,revolutions_per_sidereal_day,foa_ch02_ast_revolutions_per_sidereal_day,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/groundtrack/ast_ch2_groundtrack.sci",time_scale_sensitive,blocked_until_frame_time_policy,classical orbital mechanics,"epoch, time-scale, sidereal, UT/local-time, and day-boundary policy required",medium to high around epoch/day rollover and sidereal conversions,"calendar/day rollover, time scale, and modulo convention unresolved",possible_time_reference_fixture_required,9B_time_scale_and_sidereal_policy,blocked_until_time_policy_contract,blocked_until_epoch_time_scale_and_sidereal_policy,time-scale policy doc; exact epoch fixtures; source equivalence; independent time oracle; scilab_equivalence_job_alias=SEQ-018,Time/sidereal/epoch pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0177,lagrange_los_derivatives,foa_ch02_ast_lagrange_los_derivatives,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/observations/ast_ch2_laplace_optical.sci",orbit_two_body,high_risk_requires_numerical_policy,classical orbital mechanics,"orbital-unit, frame, conic branch, and mission-design assumption policy required",medium to high; conic branch and mission geometry convention sensitive,"conic type, singular elements, true/eccentric/hyperbolic anomaly branches, and geometry branch policy unresolved",possible_reference_fixture_required,9A_classical_elements_and_9E_mission_design_contracts,contract_review_first_no_implementation,blocked_until_orbit_geometry_conic_branch_and_validation_policy,source locator review; analytical orbit cases; reference oracle; source equivalence; family validation card; scilab_equivalence_job_alias=SEQ-019,Orbital mechanics/mission design pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0178,laplace_eighth_order_coefficients,foa_ch02_ast_laplace_eighth_order_coefficients,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/observations/ast_ch2_laplace_optical.sci",iterative_solver,blocked_until_solver_policy,classical orbital mechanics,"solver tolerance, convergence, branch, and iteration-limit policy required","high for roots, universal variables, propagation, and ODE integration","root selection, anomaly branch, convergence failure, singular orbit cases unresolved",possible_reference_fixture_required,9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy,blocked_until_solver_and_tolerance_contract,blocked_until_iteration_root_selection_and_equivalence_policy,per-solver convergence contract; analytical edge cases; Scilab equivalence; independent oracle fixtures with hashes; scilab_equivalence_job_alias=SEQ-019,Solver/propagator/root/integration name pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0179,laplace_rho_from_r,foa_ch02_ast_laplace_rho_from_r,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/observations/ast_ch2_laplace_optical.sci",iterative_solver,blocked_until_solver_policy,classical orbital mechanics,"solver tolerance, convergence, branch, and iteration-limit policy required","high for roots, universal variables, propagation, and ODE integration","root selection, anomaly branch, convergence failure, singular orbit cases unresolved",possible_reference_fixture_required,9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy,blocked_until_solver_and_tolerance_contract,blocked_until_iteration_root_selection_and_equivalence_policy,per-solver convergence contract; analytical edge cases; Scilab equivalence; independent oracle fixtures with hashes; scilab_equivalence_job_alias=SEQ-019,Solver/propagator/root/integration name pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0180,laplace_rhodot_from_r,foa_ch02_ast_laplace_rhodot_from_r,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/observations/ast_ch2_laplace_optical.sci",iterative_solver,blocked_until_solver_policy,classical orbital mechanics,"solver tolerance, convergence, branch, and iteration-limit policy required","high for roots, universal variables, propagation, and ODE integration","root selection, anomaly branch, convergence failure, singular orbit cases unresolved",possible_reference_fixture_required,9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy,blocked_until_solver_and_tolerance_contract,blocked_until_iteration_root_selection_and_equivalence_policy,per-solver convergence contract; analytical edge cases; Scilab equivalence; independent oracle fixtures with hashes; scilab_equivalence_job_alias=SEQ-019,Solver/propagator/root/integration name pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0181,laplace_range_residual,foa_ch02_ast_laplace_range_residual,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/observations/ast_ch2_laplace_optical.sci",iterative_solver,blocked_until_solver_policy,classical orbital mechanics,"solver tolerance, convergence, branch, and iteration-limit policy required","high for roots, universal variables, propagation, and ODE integration","root selection, anomaly branch, convergence failure, singular orbit cases unresolved",possible_reference_fixture_required,9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy,blocked_until_solver_and_tolerance_contract,blocked_until_iteration_root_selection_and_equivalence_policy,per-solver convergence contract; analytical edge cases; Scilab equivalence; independent oracle fixtures with hashes; scilab_equivalence_job_alias=SEQ-019,Solver/propagator/root/integration name pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0182,laplace_select_positive_root,foa_ch02_ast_laplace_select_positive_root,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/observations/ast_ch2_laplace_optical.sci",iterative_solver,blocked_until_solver_policy,classical orbital mechanics,"solver tolerance, convergence, branch, and iteration-limit policy required","high for roots, universal variables, propagation, and ODE integration","root selection, anomaly branch, convergence failure, singular orbit cases unresolved",possible_reference_fixture_required,9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy,blocked_until_solver_and_tolerance_contract,blocked_until_iteration_root_selection_and_equivalence_policy,per-solver convergence contract; analytical edge cases; Scilab equivalence; independent oracle fixtures with hashes; scilab_equivalence_job_alias=SEQ-019,Solver/propagator/root/integration name pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0183,laplace_optical_core,foa_ch02_ast_laplace_optical_core,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/observations/ast_ch2_laplace_optical.sci",iterative_solver,blocked_until_solver_policy,classical orbital mechanics,"solver tolerance, convergence, branch, and iteration-limit policy required","high for roots, universal variables, propagation, and ODE integration","root selection, anomaly branch, convergence failure, singular orbit cases unresolved",possible_reference_fixture_required,9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy,blocked_until_solver_and_tolerance_contract,blocked_until_iteration_root_selection_and_equivalence_policy,per-solver convergence contract; analytical edge cases; Scilab equivalence; independent oracle fixtures with hashes; scilab_equivalence_job_alias=SEQ-019,Solver/propagator/root/integration name pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0184,laplace_optical_from_radec,foa_ch02_ast_laplace_optical_from_radec,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/observations/ast_ch2_laplace_optical.sci",iterative_solver,blocked_until_solver_policy,classical orbital mechanics,"solver tolerance, convergence, branch, and iteration-limit policy required","high for roots, universal variables, propagation, and ODE integration","root selection, anomaly branch, convergence failure, singular orbit cases unresolved",possible_reference_fixture_required,9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy,blocked_until_solver_and_tolerance_contract,blocked_until_iteration_root_selection_and_equivalence_policy,per-solver convergence contract; analytical edge cases; Scilab equivalence; independent oracle fixtures with hashes; scilab_equivalence_job_alias=SEQ-019,Solver/propagator/root/integration name pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0202,ch3_is_close,foa_ch03_ast_is_close,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/core/ast_ch3_core.sci",ambiguous_source_or_contract,do_not_import,classical orbital mechanics,test/assertion helper; not a standalone research equation candidate,not applicable as equation candidate,assertion tolerance policy if retained in tests only,no_by_metadata_locator_only,8D_deduplicate_helpers_and_test_utility_policy,do_not_promote_public_formula,blocked_test_helper_or_duplicate_utility_not_formula,"if used, test-only utility policy and no public API promotion; scilab_equivalence_job_alias=SEQ-022",Assertion/comparison helper pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0203,ch3_assert_close,foa_ch03_ast_assert_close,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/core/ast_ch3_core.sci",ambiguous_source_or_contract,do_not_import,classical orbital mechanics,test/assertion helper; not a standalone research equation candidate,not applicable as equation candidate,assertion tolerance policy if retained in tests only,no_by_metadata_locator_only,8D_deduplicate_helpers_and_test_utility_policy,do_not_promote_public_formula,blocked_test_helper_or_duplicate_utility_not_formula,"if used, test-only utility policy and no public API promotion; scilab_equivalence_job_alias=SEQ-022",Assertion/comparison helper pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0204,ch3_assert_vec_close,foa_ch03_ast_assert_vec_close,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/core/ast_ch3_core.sci",ambiguous_source_or_contract,do_not_import,classical orbital mechanics,test/assertion helper; not a standalone research equation candidate,not applicable as equation candidate,assertion tolerance policy if retained in tests only,no_by_metadata_locator_only,8D_deduplicate_helpers_and_test_utility_policy,do_not_promote_public_formula,blocked_test_helper_or_duplicate_utility_not_formula,"if used, test-only utility policy and no public API promotion; scilab_equivalence_job_alias=SEQ-022",Assertion/comparison helper pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0239,repeating_groundtrack_revs_per_sidereal_day,foa_ch03_ast_repeating_groundtrack_revs_per_sidereal_day,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/groundtrack/ast_ch3_groundtrack.sci",time_scale_sensitive,blocked_until_frame_time_policy,classical orbital mechanics,"epoch, time-scale, sidereal, UT/local-time, and day-boundary policy required",medium to high around epoch/day rollover and sidereal conversions,"calendar/day rollover, time scale, and modulo convention unresolved",possible_time_reference_fixture_required,9B_time_scale_and_sidereal_policy,blocked_until_time_policy_contract,blocked_until_epoch_time_scale_and_sidereal_policy,time-scale policy doc; exact epoch fixtures; source equivalence; independent time oracle; scilab_equivalence_job_alias=SEQ-023,Time/sidereal/epoch pattern.
